VentaID;Fecha;NroFactura;ClienteID;VendedorID;SucursalID;CanalVenta;MedioPago;EstadoVenta
VTA000077;18/01/2026;FAC-2026-000077;CLI0148;VEN02;SUC02;Marketplace;Financiación Propia;Completada
VTA000078;06/12/2025;FAC-2025-000078;CLI0090;VEN09;SUC03;Venta Telefónica;Tarjeta Crédito;Completada
VTA000079;16/11/2025;FAC-2025-000079;CLI0083;VEN15;SUC03;WhatsApp;Transferencia;Completada
VTA000080;05/09/2025;FAC-2025-000080;CLI0489;VEN18;SUC06;Venta Telefónica;Efectivo;Completada
VTA000081;18/06/2026;FAC-2026-000081;CLI0517;VEN11;SUC05;Web;Financiación Propia;Completada
VTA000082;25/11/2025;FAC-2025-000082;CLI0278;VEN17;SUC05;Web;Financiación Propia;Pendiente
VTA000083;08/04/2026;FAC-2026-000083;CLI0115;VEN17;SUC05;Marketplace;Efectivo;Completada
VTA000084;21/09/2025;FAC-2025-000084;CLI0262;VEN15;SUC03;Marketplace;Financiación Propia;Completada
VTA000085;22/03/2025;FAC-2025-000085;CLI0300;VEN11;SUC05;Marketplace;Transferencia;Completada
VTA000086;08/06/2026;FAC-2026-000086;CLI0409;VEN15;SUC03;WhatsApp;Efectivo;Cancelada
VTA000087;04/04/2025;FAC-2025-000087;CLI0176;VEN17;SUC05;Web;Transferencia;Cancelada
VTA000088;13/04/2025;FAC-2025-000088;CLI0125;VEN12;SUC06;Venta Telefónica;Transferencia;Completada
VTA000089;17/01/2025;FAC-2025-000089;CLI0042;VEN17;SUC05;WhatsApp;Tarjeta Débito;Completada
VTA000090;06/01/2025;FAC-2025-000090;CLI0372;VEN15;SUC03;Marketplace;Efectivo;Completada
VTA000091;23/03/2025;FAC-2025-000091;CLI0464;VEN07;SUC01;Marketplace;Transferencia;Completada
VTA000092;29/04/2026;FAC-2026-000092;CLI0514;VEN14;SUC02;Marketplace;Transferencia;Completada
VTA000093;29/03/2025;FAC-2025-000093;CLI0263;VEN16;SUC04;Local;Efectivo;Completada
VTA000094;23/06/2025;FAC-2025-000094;CLI0357;VEN10;SUC04;Marketplace;Tarjeta Débito;Completada
VTA000095;18/02/2026;FAC-2026-000095;CLI0195;VEN03;SUC03;WhatsApp;Efectivo;Completada
VTA000096;24/04/2026;FAC-2026-000096;CLI0038;VEN15;SUC03;Venta Telefónica;Tarjeta Crédito;Completada
VTA000097;18/10/2025;FAC-2025-000097;CLI0490;VEN18;SUC06;Venta Telefónica;Efectivo;Completada
VTA000098;27/09/2025;FAC-2025-000098;CLI0187;VEN13;SUC01;Marketplace;Financiación Propia;Completada
VTA000099;23/08/2025;FAC-2025-000099;CLI0053;VEN11;SUC05;Marketplace;Tarjeta Débito;Completada
VTA000100;29/03/2026;FAC-2026-000100;CLI0288;VEN12;SUC06;Local;Tarjeta Crédito;Completada
VTA000101;04/05/2026;FAC-2026-000101;CLI0500;VEN05;SUC05;Marketplace;Transferencia;Completada
VTA000102;25/09/2025;FAC-2025-000102;CLI0070;VEN03;SUC03;Web;Efectivo;Completada
VTA000103;21/03/2026;FAC-2026-000103;CLI0154;VEN01;SUC01;WhatsApp;Tarjeta Crédito;Completada
VTA000104;14/02/2026;FAC-2026-000104;CLI0409;VEN15;SUC03;WhatsApp;Financiación Propia;Completada
VTA000105;26/01/2026;FAC-2026-000105;CLI0234;VEN16;SUC04;Web;Financiación Propia;Completada
VTA000106;01/09/2025;FAC-2025-000106;CLI0522;VEN02;SUC02;Venta Telefónica;Tarjeta Débito;Completada
VTA000107;03/07/2026;FAC-2026-000107;CLI0168;VEN10;SUC04;Web;Tarjeta Débito;Completada
VTA000108;07/01/2026;FAC-2026-000108;CLI0102;VEN08;SUC02;Web;Financiación Propia;Completada
VTA000109;13/07/2026;FAC-2026-000109;CLI0519;VEN02;SUC02;Marketplace;Transferencia;Completada
VTA000110;21/01/2026;FAC-2026-000110;CLI0109;VEN01;SUC01;Local;Financiación Propia;Completada
VTA000111;28/05/2026;FAC-2026-000111;CLI0325;VEN15;SUC03;Web;Tarjeta Crédito;Completada
VTA000112;14/09/2025;FAC-2025-000112;CLI0535;VEN02;SUC02;Marketplace;Financiación Propia;Completada
VTA000113;26/06/2025;FAC-2025-000113;CLI0419;VEN10;SUC04;Web;Tarjeta Débito;Completada
VTA000114;15/04/2025;FAC-2025-000114;CLI0547;VEN08;SUC02;Web;Tarjeta Débito;Completada
VTA000115;16/01/2025;FAC-2025-000115;CLI0212;VEN03;SUC03;Marketplace;Transferencia;Completada
VTA000116;29/11/2025;FAC-2025-000116;CLI0126;VEN16;SUC04;Venta Telefónica;Financiación Propia;Completada
VTA000117;12/06/2026;FAC-2026-000117;CLI0504;VEN17;SUC05;Marketplace;Financiación Propia;Completada
VTA000118;30/06/2025;FAC-2025-000118;CLI0552;VEN13;SUC01;Web;Tarjeta Crédito;Completada
VTA000119;12/05/2025;FAC-2025-000119;CLI0422;VEN15;SUC03;Venta Telefónica;Tarjeta Débito;Completada
VTA000120;18/07/2025;FAC-2025-000120;CLI0237;VEN08;SUC02;Venta Telefónica;Tarjeta Débito;Completada
VTA000121;02/02/2026;FAC-2026-000121;CLI0377;VEN11;SUC05;Marketplace;Efectivo;Completada
VTA000122;05/09/2025;FAC-2025-000122;CLI0491;VEN18;SUC06;WhatsApp;Financiación Propia;Completada
VTA000123;12/07/2025;FAC-2025-000123;CLI0509;VEN08;SUC02;Web;Tarjeta Débito;Completada
VTA000124;09/09/2025;FAC-2025-000124;CLI0079;VEN07;SUC01;Web;Tarjeta Débito;Completada
VTA000125;09/03/2026;FAC-2026-000125;CLI0311;VEN01;SUC01;Marketplace;Financiación Propia;Completada
VTA000126;10/03/2026;FAC-2026-000126;CLI0445;VEN05;SUC05;WhatsApp;Financiación Propia;Pendiente
VTA000127;07/09/2025;FAC-2025-000127;CLI0079;VEN07;SUC01;Marketplace;Efectivo;Completada
VTA000128;22/01/2025;FAC-2025-000128;CLI0098;VEN12;SUC06;Web;Transferencia;Completada
VTA000129;18/01/2025;FAC-2025-000129;CLI0587;VEN17;SUC05;WhatsApp;Financiación Propia;Completada
VTA000130;17/03/2026;FAC-2026-000130;CLI0404;VEN12;SUC06;Local;Efectivo;Completada
VTA000131;25/11/2025;FAC-2025-000131;CLI0056;VEN13;SUC01;Venta Telefónica;Transferencia;Completada
VTA000132;30/07/2026;FAC-2026-000132;CLI0527;VEN11;SUC05;Marketplace;Tarjeta Crédito;Cancelada
VTA000133;09/07/2025;FAC-2025-000133;CLI0141;VEN14;SUC02;Web;Efectivo;Completada
VTA000134;24/04/2025;FAC-2025-000134;CLI0108;VEN05;SUC05;Web;Tarjeta Crédito;Completada
VTA000135;26/07/2026;FAC-2026-000135;CLI0436;VEN12;SUC06;Marketplace;Efectivo;Completada
VTA000136;20/04/2025;FAC-2025-000136;CLI0380;VEN16;SUC04;WhatsApp;Transferencia;Completada
VTA000137;26/07/2026;FAC-2026-000137;CLI0037;VEN17;SUC05;Web;Transferencia;Completada
VTA000138;16/05/2025;FAC-2025-000138;CLI0271;VEN18;SUC06;Marketplace;Efectivo;Completada
VTA000139;22/02/2025;FAC-2025-000139;CLI0052;VEN09;SUC03;Venta Telefónica;Financiación Propia;Completada
VTA000140;22/11/2025;FAC-2025-000140;CLI0502;VEN13;SUC01;Marketplace;Tarjeta Crédito;Completada
VTA000141;05/10/2025;FAC-2025-000141;CLI0442;VEN14;SUC02;Venta Telefónica;Efectivo;Completada
VTA000142;09/01/2025;FAC-2025-000142;CLI0475;VEN05;SUC05;Web;Transferencia;Completada
VTA000143;09/11/2025;FAC-2025-000143;CLI0309;VEN13;SUC01;Marketplace;Financiación Propia;Completada
VTA000144;23/01/2025;FAC-2025-000144;CLI0384;VEN09;SUC03;Web;Tarjeta Crédito;Completada
VTA000145;14/03/2026;FAC-2026-000145;CLI0449;VEN17;SUC05;Venta Telefónica;Financiación Propia;Completada
VTA000146;14/04/2026;FAC-2026-000146;CLI0503;VEN12;SUC06;Venta Telefónica;Tarjeta Débito;Completada
VTA000147;19/02/2026;FAC-2026-000147;CLI0227;VEN05;SUC05;Web;Tarjeta Crédito;Completada
VTA000148;12/11/2025;FAC-2025-000148;CLI0439;VEN13;SUC01;Local;Tarjeta Crédito;Completada
VTA000149;28/11/2025;FAC-2025-000149;CLI0402;VEN16;SUC04;Local;Efectivo;Completada
VTA000150;23/08/2025;FAC-2025-000150;CLI0454;VEN04;SUC04;Marketplace;Tarjeta Débito;Completada
VTA000151;04/03/2025;FAC-2025-000151;CLI0188;VEN15;SUC03;WhatsApp;Tarjeta Crédito;Completada
VTA000152;25/02/2026;FAC-2026-000152;CLI0273;VEN08;SUC02;Venta Telefónica;Tarjeta Crédito;Completada
VTA000153;06/02/2026;FAC-2026-000153;CLI0582;VEN17;SUC05;Marketplace;Efectivo;Completada
VTA000154;17/04/2026;FAC-2026-000154;CLI0187;VEN04;SUC04;Web;Transferencia;Completada
VTA000155;25/03/2026;FAC-2026-000155;CLI0209;VEN14;SUC02;Local;Financiación Propia;Completada
VTA000156;21/05/2026;FAC-2026-000156;CLI0051;VEN12;SUC06;Local;Efectivo;Completada
VTA000157;14/05/2025;FAC-2025-000157;CLI0158;VEN10;SUC04;Local;Transferencia;Completada
VTA000158;18/09/2025;FAC-2025-000158;CLI0396;VEN06;SUC06;Web;Transferencia;Completada
VTA000159;09/09/2025;FAC-2025-000159;CLI0550;VEN02;SUC02;WhatsApp;Tarjeta Crédito;Completada
VTA000160;07/01/2025;FAC-2025-000160;CLI0093;VEN11;SUC05;Web;Tarjeta Débito;Completada
VTA000161;26/03/2025;FAC-2025-000161;CLI0358;VEN02;SUC02;WhatsApp;Financiación Propia;Completada
VTA000162;02/10/2025;FAC-2025-000162;CLI0182;VEN11;SUC05;Venta Telefónica;Transferencia;Completada
VTA000163;20/02/2026;FAC-2026-000163;CLI0005;VEN13;SUC01;Web;Tarjeta Crédito;Completada
VTA000164;08/01/2026;FAC-2026-000164;CLI0040;VEN05;SUC05;Local;Efectivo;Pendiente
VTA000165;08/03/2025;FAC-2025-000165;CLI0418;VEN14;SUC02;Venta Telefónica;Tarjeta Débito;Completada
VTA000166;19/04/2025;FAC-2025-000166;CLI0120;VEN09;SUC03;Web;Tarjeta Crédito;Completada
VTA000167;24/05/2026;FAC-2026-000167;CLI0461;VEN11;SUC05;Local;Financiación Propia;Completada
VTA000168;13/01/2026;FAC-2026-000168;CLI0040;VEN17;SUC05;Venta Telefónica;Efectivo;Completada
VTA000169;08/07/2026;FAC-2026-000169;CLI0152;VEN01;SUC01;Venta Telefónica;Efectivo;Completada
VTA000170;27/04/2026;FAC-2026-000170;CLI0541;VEN12;SUC06;Local;Financiación Propia;Completada
VTA000171;08/05/2025;FAC-2025-000171;CLI0479;VEN17;SUC05;Web;Tarjeta Débito;Completada
VTA000172;14/06/2025;FAC-2025-000172;CLI0207;VEN04;SUC04;Local;Transferencia;Completada
VTA000173;12/10/2025;FAC-2025-000173;CLI0587;VEN12;SUC06;Local;Transferencia;Completada
VTA000174;18/01/2026;FAC-2026-000174;CLI0331;VEN13;SUC01;Web;Financiación Propia;Completada
VTA000175;04/01/2026;FAC-2026-000175;CLI0156;VEN02;SUC02;Web;Efectivo;Completada
VTA000176;07/02/2025;FAC-2025-000176;CLI0390;VEN17;SUC05;Web;Efectivo;Completada
VTA000177;26/02/2025;FAC-2025-000177;CLI0566;VEN05;SUC05;WhatsApp;Tarjeta Crédito;Completada
VTA000178;17/02/2025;FAC-2025-000178;CLI0551;VEN10;SUC04;Marketplace;Tarjeta Crédito;Completada
VTA000179;07/11/2025;FAC-2025-000179;CLI0282;VEN13;SUC01;Local;Tarjeta Débito;Completada
VTA000180;08/02/2025;FAC-2025-000180;CLI0216;VEN18;SUC06;WhatsApp;Efectivo;Completada
VTA000181;29/05/2026;FAC-2026-000181;CLI0163;VEN04;SUC04;Web;Transferencia;Completada
VTA000182;09/06/2025;FAC-2025-000182;CLI0003;VEN14;SUC02;Venta Telefónica;Tarjeta Crédito;Pendiente
VTA000183;14/05/2025;FAC-2025-000183;CLI0120;VEN05;SUC05;Web;Transferencia;Completada
VTA000184;17/05/2026;FAC-2026-000184;CLI0036;VEN04;SUC04;Local;Tarjeta Débito;Completada
VTA000185;09/06/2026;FAC-2026-000185;CLI0542;VEN11;SUC05;Local;Transferencia;Pendiente
VTA000186;11/07/2026;FAC-2026-000186;CLI0118;VEN05;SUC05;Web;Efectivo;Completada
VTA000187;19/03/2026;FAC-2026-000187;CLI0402;VEN08;SUC02;Web;Financiación Propia;Completada
VTA000188;26/04/2026;FAC-2026-000188;CLI0161;VEN04;SUC04;Local;Transferencia;Completada
VTA000189;12/09/2025;FAC-2025-000189;CLI0287;VEN14;SUC02;Web;Tarjeta Débito;Completada
VTA000190;02/03/2025;FAC-2025-000190;CLI0592;VEN01;SUC01;Local;Tarjeta Débito;Completada
VTA000191;24/07/2026;FAC-2026-000191;CLI0040;VEN14;SUC02;Web;Tarjeta Débito;Completada
VTA000192;17/03/2025;FAC-2025-000192;CLI0310;VEN03;SUC03;WhatsApp;Tarjeta Débito;Completada
VTA000193;26/11/2025;FAC-2025-000193;CLI0584;VEN15;SUC03;Marketplace;Tarjeta Débito;Completada
VTA000194;04/04/2025;FAC-2025-000194;CLI0097;VEN03;SUC03;Venta Telefónica;Transferencia;Completada
VTA000195;23/09/2025;FAC-2025-000195;CLI0113;VEN02;SUC02;Marketplace;Tarjeta Crédito;Completada
VTA000196;04/03/2026;FAC-2026-000196;CLI0209;VEN02;SUC02;Marketplace;Efectivo;Completada
VTA000197;14/08/2025;FAC-2025-000197;CLI0431;VEN16;SUC04;Local;Financiación Propia;Completada
VTA000198;20/01/2026;FAC-2026-000198;CLI0106;VEN15;SUC03;Local;Transferencia;Completada
VTA000199;12/07/2026;FAC-2026-000199;CLI0534;VEN03;SUC03;Local;Transferencia;Completada
VTA000200;29/04/2025;FAC-2025-000200;CLI0136;VEN07;SUC01;Marketplace;Efectivo;Completada
VTA000201;31/07/2025;FAC-2025-000201;CLI0464;VEN09;SUC03;Web;Transferencia;Pendiente
VTA000202;01/05/2026;FAC-2026-000202;CLI0158;VEN01;SUC01;WhatsApp;Tarjeta Crédito;Completada
VTA000203;01/04/2026;FAC-2026-000203;CLI0171;VEN12;SUC06;WhatsApp;Tarjeta Crédito;Completada
VTA000204;24/05/2026;FAC-2026-000204;CLI0361;VEN01;SUC01;WhatsApp;Tarjeta Crédito;Completada
VTA000205;21/01/2025;FAC-2025-000205;CLI0036;VEN10;SUC04;Venta Telefónica;Efectivo;Completada
VTA000206;23/07/2026;FAC-2026-000206;CLI0392;VEN04;SUC04;Web;Financiación Propia;Completada
VTA000207;28/05/2025;FAC-2025-000207;CLI0563;VEN09;SUC03;WhatsApp;Tarjeta Débito;Completada
VTA000208;24/09/2025;FAC-2025-000208;CLI0019;VEN01;SUC01;Web;Efectivo;Completada
VTA000209;04/05/2025;FAC-2025-000209;CLI0005;VEN16;SUC04;WhatsApp;Transferencia;Completada
VTA000210;19/02/2025;FAC-2025-000210;CLI0428;VEN04;SUC04;WhatsApp;Efectivo;Completada
VTA000211;02/07/2025;FAC-2025-000211;CLI0515;VEN05;SUC05;Marketplace;Tarjeta Crédito;Completada
VTA000212;26/12/2025;FAC-2025-000212;CLI0067;VEN11;SUC05;WhatsApp;Efectivo;Completada
VTA000213;03/01/2026;FAC-2026-000213;CLI0200;VEN11;SUC05;Marketplace;Tarjeta Débito;Completada
VTA000214;22/12/2025;FAC-2025-000214;CLI0559;VEN17;SUC05;Local;Transferencia;Completada
VTA000215;15/06/2026;FAC-2026-000215;CLI0170;VEN02;SUC02;Local;Tarjeta Crédito;Completada
VTA000216;31/05/2026;FAC-2026-000216;CLI0434;VEN11;SUC05;WhatsApp;Financiación Propia;Completada
VTA000217;07/09/2025;FAC-2025-000217;CLI0573;VEN05;SUC05;Marketplace;Tarjeta Débito;Cancelada
VTA000218;02/04/2026;FAC-2026-000218;CLI0110;VEN13;SUC01;WhatsApp;Tarjeta Crédito;Completada
VTA000219;27/04/2025;FAC-2025-000219;CLI0380;VEN09;SUC03;Venta Telefónica;Transferencia;Completada
VTA000220;09/08/2025;FAC-2025-000220;CLI0456;VEN07;SUC01;Local;Efectivo;Completada
VTA000221;03/02/2026;FAC-2026-000221;CLI0404;VEN02;SUC02;Web;Financiación Propia;Completada
VTA000222;17/05/2026;FAC-2026-000222;CLI0282;VEN16;SUC04;Web;Transferencia;Completada
VTA000223;25/07/2026;FAC-2026-000223;CLI0525;VEN10;SUC04;Local;Efectivo;Completada
VTA000224;02/11/2025;FAC-2025-000224;CLI0219;VEN18;SUC06;Local;Financiación Propia;Completada
VTA000225;02/05/2025;FAC-2025-000225;CLI0498;VEN08;SUC02;Web;Tarjeta Crédito;Completada
VTA000226;08/02/2025;FAC-2025-000226;CLI0490;VEN04;SUC04;Marketplace;Tarjeta Crédito;Completada
VTA000227;18/03/2025;FAC-2025-000227;CLI0399;VEN12;SUC06;Web;Financiación Propia;Pendiente
VTA000228;02/02/2025;FAC-2025-000228;CLI0038;VEN10;SUC04;Venta Telefónica;Transferencia;Completada
VTA000229;09/03/2025;FAC-2025-000229;CLI0190;VEN14;SUC02;Web;Transferencia;Completada
VTA000230;08/02/2026;FAC-2026-000230;CLI0419;VEN03;SUC03;WhatsApp;Financiación Propia;Completada
VTA000231;11/03/2025;FAC-2025-000231;CLI0362;VEN08;SUC02;Marketplace;Transferencia;Completada
VTA000232;25/04/2026;FAC-2026-000232;CLI0517;VEN13;SUC01;Venta Telefónica;Tarjeta Crédito;Completada
VTA000233;25/07/2025;FAC-2025-000233;CLI0442;VEN13;SUC01;Local;Tarjeta Débito;Completada
VTA000234;11/07/2026;FAC-2026-000234;CLI0600;VEN04;SUC04;Marketplace;Tarjeta Débito;Completada
VTA000235;06/08/2025;FAC-2025-000235;CLI0064;VEN15;SUC03;Web;Financiación Propia;Completada
VTA000236;10/05/2025;FAC-2025-000236;CLI0326;VEN02;SUC02;WhatsApp;Financiación Propia;Completada
VTA000237;08/07/2025;FAC-2025-000237;CLI0091;VEN18;SUC06;Web;Tarjeta Débito;Completada
VTA000238;30/12/2025;FAC-2025-000238;CLI0338;VEN07;SUC01;WhatsApp;Financiación Propia;Completada
VTA000239;18/07/2026;FAC-2026-000239;CLI0111;VEN08;SUC02;Venta Telefónica;Transferencia;Completada
VTA000240;25/06/2026;FAC-2026-000240;CLI0493;VEN04;SUC04;Web;Financiación Propia;Completada
VTA000241;21/11/2025;FAC-2025-000241;CLI0255;VEN05;SUC05;Local;Efectivo;Completada
VTA000242;16/06/2026;FAC-2026-000242;CLI0029;VEN01;SUC01;Web;Tarjeta Crédito;Completada
VTA000243;15/06/2025;FAC-2025-000243;CLI0391;VEN02;SUC02;Venta Telefónica;Tarjeta Débito;Completada
VTA000244;30/03/2025;FAC-2025-000244;CLI0011;VEN13;SUC01;WhatsApp;Tarjeta Crédito;Completada
VTA000245;20/03/2026;FAC-2026-000245;CLI0345;VEN10;SUC04;Marketplace;Tarjeta Débito;Completada
