DetalleID;VentaID;ProductoID;Cantidad;PrecioUnitario;DescuentoPct;VentaNeta;CostoTotal;Margen
DET000058-1;VTA000058;PROD0174;2;$ 365.506,82;5,0%;$ 694.462,96;$ 570.544,00;$ 123.918,96
DET000059-1;VTA000059;PROD0107;1;$ 382.187,14;0,0%;$ 382.187,14;$ 257.871,00;$ 124.316,14
DET000060-1;VTA000060;PROD0117;1;$ 18.647,25;20,0%;$ 14.917,80;$ 13.971,00;$ 946,80
DET000060-2;VTA000060;PROD0032;2;$ 948.082,58;10,0%;$ 1.706.548,64;$ 1.179.260,00;$ 527.288,64
DET000060-3;VTA000060;PROD0028;1;$ 161.709,72;0,0%;$ 161.709,72;$ 108.655,00;$ 53.054,72
DET000061-1;VTA000061;PROD0140;1;$ 491.528,49;0,0%;$ 491.528,49;$ 340.381,00;$ 151.147,49
DET000061-2;VTA000061;PROD0126;2;$ 79.887,75;0,0%;$ 159.775,50;$ 107.252,00;$ 52.523,50
DET000062-1;VTA000062;PROD0152;2;$ 1.028.539,71;5,0%;$ 1.954.225,45;$ 1.355.176,00;$ 599.049,45
DET000063-1;VTA000063;PROD0109;1;$ 761.146,63;0,0%;$ 761.146,63;$ 577.626,00;$ 183.520,63
DET000064-1;VTA000064;PROD0168;3;$ 201.819,47;0,0%;$ 605.458,41;$ 431.145,00;$ 174.313,41
DET000065-1;VTA000065;PROD0124;2;$ 155.825,55;15,0%;$ 264.903,43;$ 247.674,00;$ 17.229,43
DET000065-2;VTA000065;PROD0099;2;$ 731.146,06;5,0%;$ 1.389.177,51;$ 1.141.876,00;$ 247.301,51
DET000066-1;VTA000066;PROD0145;1;$ 900.256,80;0,0%;$ 900.256,80;$ 608.263,00;$ 291.993,80
DET000067-1;VTA000067;PROD0029;2;$ 619.801,12;0,0%;$ 0,00;$ 963.738,00;$ 0,00
DET000067-2;VTA000067;PROD0002;1;$ 1.303.532,33;0,0%;$ 0,00;$ 862.953,00;$ 0,00
DET000067-3;VTA000067;PROD0077;1;$ 340.966,46;0,0%;$ 0,00;$ 219.048,00;$ 0,00
DET000068-1;VTA000068;PROD0098;4;$ 705.523,71;0,0%;$ 2.822.094,84;$ 1.866.476,00;$ 955.618,84
DET000068-2;VTA000068;PROD0163;1;$ 30.230,45;0,0%;$ 30.230,45;$ 21.953,00;$ 8.277,45
DET000069-1;VTA000069;PROD0042;2;$ 153.573,33;0,0%;$ 307.146,66;$ 199.466,00;$ 107.680,66
DET000069-2;VTA000069;PROD0056;1;$ 354.384,94;5,0%;$ 336.665,69;$ 242.486,00;$ 94.179,69
DET000070-1;VTA000070;PROD0008;1;$ 214.735,04;5,0%;$ 203.998,29;$ 150.976,00;$ 53.022,29
DET000071-1;VTA000071;PROD0180;4;$ 1.188.047,89;10,0%;$ 4.276.972,40;$ 3.479.788,00;$ 797.184,40
DET000072-1;VTA000072;PROD0172;2;$ 15.262,39;0,0%;$ 30.524,78;$ 20.482,00;$ 10.042,78
DET000073-1;VTA000073;PROD0014;3;$ 775.454,01;5,0%;$ 2.210.043,93;$ 1.482.042,00;$ 728.001,93
DET000074-1;VTA000074;PROD0143;1;$ 52.419,56;0,0%;$ 52.419,56;$ 35.896,00;$ 16.523,56
DET000075-1;VTA000075;PROD0092;1;$ 849.251,92;0,0%;$ 849.251,92;$ 641.913,00;$ 207.338,92
DET000076-1;VTA000076;PROD0178;1;$ 443.469,44;10,0%;$ 399.122,50;$ 339.334,00;$ 59.788,50
DET000077-1;VTA000077;PROD0072;1;$ 849.834,48;0,0%;$ 849.834,48;$ 656.772,00;$ 193.062,48
DET000077-2;VTA000077;PROD0058;1;$ 332.054,11;0,0%;$ 332.054,11;$ 240.456,00;$ 91.598,11
DET000078-1;VTA000078;PROD0099;1;$ 734.001,96;0,0%;$ 734.001,96;$ 570.938,00;$ 163.063,96
DET000079-1;VTA000079;PROD0080;1;$ 43.545,85;0,0%;$ 43.545,85;$ 28.849,00;$ 14.696,85
DET000080-1;VTA000080;PROD0117;1;$ 17.709,90;10,0%;$ 15.938,91;$ 13.971,00;$ 1.967,91
DET000081-1;VTA000081;PROD0159;1;$ 770.537,38;0,0%;$ 770.537,38;$ 535.252,00;$ 235.285,38
DET000082-1;VTA000082;PROD0103;1;$ 20.406,66;0,0%;$ 20.406,66;$ 12.993,00;$ 7.413,66
DET000083-1;VTA000083;PROD0159;1;$ 766.413,39;0,0%;$ 766.413,39;$ 535.252,00;$ 231.161,39
DET000084-1;VTA000084;PROD0039;1;$ 541.356,58;0,0%;$ 541.356,58;$ 359.480,00;$ 181.876,58
DET000085-1;VTA000085;PROD0044;1;$ 201.254,59;0,0%;$ 201.254,59;$ 138.314,00;$ 62.940,59
DET000086-1;VTA000086;PROD0156;1;$ 387.960,29;5,0%;$ 0,00;$ 287.610,00;$ 0,00
DET000087-1;VTA000087;PROD0150;1;$ 1.074.321,82;5,0%;$ 0,00;$ 724.414,00;$ 0,00
DET000088-1;VTA000088;PROD0017;1;$ 562.780,16;5,0%;$ 534.641,15;$ 385.317,00;$ 149.324,15
DET000089-1;VTA000089;PROD0149;1;$ 133.488,79;0,0%;$ 133.488,79;$ 97.622,00;$ 35.866,79
DET000089-2;VTA000089;PROD0105;1;$ 438.635,15;0,0%;$ 438.635,15;$ 296.734,00;$ 141.901,15
DET000089-3;VTA000089;PROD0110;1;$ 517.433,92;15,0%;$ 439.818,83;$ 410.845,00;$ 28.973,83
DET000090-1;VTA000090;PROD0043;1;$ 720.475,44;10,0%;$ 648.427,90;$ 510.789,00;$ 137.638,90
DET000090-2;VTA000090;PROD0160;1;$ 368.953,40;5,0%;$ 350.505,73;$ 265.144,00;$ 85.361,73
DET000090-3;VTA000090;PROD0105;1;$ 439.323,35;0,0%;$ 439.323,35;$ 296.734,00;$ 142.589,35
DET000091-1;VTA000091;PROD0064;2;$ 558.726,77;15,0%;$ 949.835,51;$ 712.990,00;$ 236.845,51
DET000092-1;VTA000092;PROD0014;1;$ 741.992,47;20,0%;$ 593.593,98;$ 494.014,00;$ 99.579,98
DET000093-1;VTA000093;PROD0015;1;$ 573.259,61;5,0%;$ 544.596,63;$ 412.494,00;$ 132.102,63
DET000094-1;VTA000094;PROD0142;1;$ 87.823,44;0,0%;$ 87.823,44;$ 60.200,00;$ 27.623,44
DET000095-1;VTA000095;PROD0082;1;$ 84.955,72;5,0%;$ 80.707,93;$ 57.158,00;$ 23.549,93
DET000096-1;VTA000096;PROD0085;2;$ 1.109.995,56;20,0%;$ 1.775.992,90;$ 1.387.282,00;$ 388.710,90
DET000097-1;VTA000097;PROD0154;1;$ 692.181,00;10,0%;$ 622.962,90;$ 497.066,00;$ 125.896,90
DET000097-2;VTA000097;PROD0063;2;$ 16.649,75;5,0%;$ 31.634,52;$ 20.814,00;$ 10.820,52
DET000098-1;VTA000098;PROD0166;1;$ 242.590,02;0,0%;$ 242.590,02;$ 157.280,00;$ 85.310,02
DET000099-1;VTA000099;PROD0150;2;$ 1.059.106,18;10,0%;$ 1.906.391,12;$ 1.448.828,00;$ 457.563,12
DET000100-1;VTA000100;PROD0143;1;$ 55.235,79;0,0%;$ 55.235,79;$ 35.896,00;$ 19.339,79
DET000100-2;VTA000100;PROD0046;1;$ 998.901,98;0,0%;$ 998.901,98;$ 689.522,00;$ 309.379,98
DET000101-1;VTA000101;PROD0137;1;$ 1.158.298,59;0,0%;$ 1.158.298,59;$ 714.997,00;$ 443.301,59
DET000102-1;VTA000102;PROD0167;2;$ 501.689,70;10,0%;$ 903.041,46;$ 761.102,00;$ 141.939,46
DET000102-2;VTA000102;PROD0177;2;$ 693.378,07;0,0%;$ 1.386.756,14;$ 889.332,00;$ 497.424,14
DET000102-3;VTA000102;PROD0026;2;$ 835.824,02;0,0%;$ 1.671.648,04;$ 1.221.582,00;$ 450.066,04
DET000103-1;VTA000103;PROD0008;3;$ 224.447,85;0,0%;$ 673.343,55;$ 452.928,00;$ 220.415,55
DET000103-2;VTA000103;PROD0056;1;$ 350.902,64;0,0%;$ 350.902,64;$ 242.486,00;$ 108.416,64
DET000103-3;VTA000103;PROD0118;1;$ 102.248,14;0,0%;$ 102.248,14;$ 65.969,00;$ 36.279,14
DET000104-1;VTA000104;PROD0021;1;$ 1.015.384,82;5,0%;$ 964.615,58;$ 752.620,00;$ 211.995,58
DET000105-1;VTA000105;PROD0030;1;$ 441.599,90;0,0%;$ 441.599,90;$ 310.009,00;$ 131.590,90
DET000106-1;VTA000106;PROD0075;2;$ 589.973,41;0,0%;$ 1.179.946,82;$ 829.818,00;$ 350.128,82
DET000106-2;VTA000106;PROD0074;1;$ 531.569,76;0,0%;$ 531.569,76;$ 388.845,00;$ 142.724,76
DET000106-3;VTA000106;PROD0007;1;$ 873.697,70;0,0%;$ 873.697,70;$ 657.826,00;$ 215.871,70
DET000107-1;VTA000107;PROD0002;2;$ 1.311.147,65;15,0%;$ 2.228.951,00;$ 1.725.906,00;$ 503.045,00
DET000108-1;VTA000108;PROD0127;1;$ 16.088,99;0,0%;$ 16.088,99;$ 11.836,00;$ 4.252,99
DET000109-1;VTA000109;PROD0076;3;$ 200.065,27;0,0%;$ 600.195,81;$ 410.103,00;$ 190.092,81
DET000110-1;VTA000110;PROD0180;1;$ 1.192.312,00;0,0%;$ 1.192.312,00;$ 869.947,00;$ 322.365,00
DET000110-2;VTA000110;PROD0148;1;$ 70.400,43;0,0%;$ 70.400,43;$ 54.971,00;$ 15.429,43
DET000111-1;VTA000111;PROD0038;1;$ 41.248,45;0,0%;$ 41.248,45;$ 32.241,00;$ 9.007,45
DET000112-1;VTA000112;PROD0161;1;$ 476.070,74;0,0%;$ 476.070,74;$ 305.298,00;$ 170.772,74
DET000113-1;VTA000113;PROD0175;1;$ 641.058,40;5,0%;$ 609.005,48;$ 518.531,00;$ 90.474,48
DET000114-1;VTA000114;PROD0064;1;$ 535.936,95;0,0%;$ 535.936,95;$ 356.495,00;$ 179.441,95
DET000115-1;VTA000115;PROD0080;2;$ 40.644,56;10,0%;$ 73.160,21;$ 57.698,00;$ 15.462,21
DET000115-2;VTA000115;PROD0125;1;$ 423.487,32;15,0%;$ 359.964,22;$ 314.817,00;$ 45.147,22
DET000116-1;VTA000116;PROD0043;1;$ 693.547,78;0,0%;$ 693.547,78;$ 510.789,00;$ 182.758,78
DET000116-2;VTA000116;PROD0020;2;$ 548.656,68;10,0%;$ 987.582,02;$ 810.492,00;$ 177.090,02
DET000117-1;VTA000117;PROD0161;2;$ 468.067,80;10,0%;$ 842.522,04;$ 610.596,00;$ 231.926,04
DET000117-2;VTA000117;PROD0030;1;$ 430.369,15;0,0%;$ 430.369,15;$ 310.009,00;$ 120.360,15
DET000118-1;VTA000118;PROD0155;1;$ 303.966,73;0,0%;$ 303.966,73;$ 199.197,00;$ 104.769,73
DET000118-2;VTA000118;PROD0010;1;$ 99.566,50;5,0%;$ 94.588,17;$ 75.474,00;$ 19.114,17
DET000118-3;VTA000118;PROD0126;2;$ 76.133,79;10,0%;$ 137.040,82;$ 107.252,00;$ 29.788,82
DET000119-1;VTA000119;PROD0042;2;$ 161.888,59;15,0%;$ 275.210,60;$ 199.466,00;$ 75.744,60
DET000119-2;VTA000119;PROD0125;1;$ 447.676,98;5,0%;$ 425.293,13;$ 314.817,00;$ 110.476,13
DET000120-1;VTA000120;PROD0176;1;$ 149.325,89;5,0%;$ 141.859,60;$ 110.906,00;$ 30.953,60
DET000120-2;VTA000120;PROD0120;1;$ 47.098,38;0,0%;$ 47.098,38;$ 35.319,00;$ 11.779,38
DET000121-1;VTA000121;PROD0002;1;$ 1.311.879,73;5,0%;$ 1.246.285,74;$ 862.953,00;$ 383.332,74
DET000122-1;VTA000122;PROD0120;1;$ 48.312,54;5,0%;$ 45.896,91;$ 35.319,00;$ 10.577,91
DET000122-2;VTA000122;PROD0135;1;$ 39.469,69;0,0%;$ 39.469,69;$ 30.657,00;$ 8.812,69
DET000122-3;VTA000122;PROD0082;2;$ 88.708,71;0,0%;$ 177.417,42;$ 114.316,00;$ 63.101,42
DET000123-1;VTA000123;PROD0040;1;$ 262.329,63;15,0%;$ 222.980,19;$ 182.154,00;$ 40.826,19
DET000123-2;VTA000123;PROD0018;1;$ 1.068.791,71;0,0%;$ 1.068.791,71;$ 738.346,00;$ 330.445,71
DET000124-1;VTA000124;PROD0041;2;$ 303.922,08;0,0%;$ 607.844,16;$ 403.456,00;$ 204.388,16
DET000124-2;VTA000124;PROD0052;1;$ 677.852,70;0,0%;$ 677.852,70;$ 459.664,00;$ 218.188,70
DET000125-1;VTA000125;PROD0047;1;$ 396.749,30;5,0%;$ 376.911,83;$ 310.546,00;$ 66.365,83
DET000126-1;VTA000126;PROD0044;1;$ 208.150,56;0,0%;$ 208.150,56;$ 138.314,00;$ 69.836,56
DET000126-2;VTA000126;PROD0152;1;$ 1.036.414,11;15,0%;$ 880.951,99;$ 677.588,00;$ 203.363,99
DET000127-1;VTA000127;PROD0167;1;$ 508.118,98;5,0%;$ 482.713,03;$ 380.551,00;$ 102.162,03
DET000128-1;VTA000128;PROD0017;2;$ 572.914,10;0,0%;$ 1.145.828,20;$ 770.634,00;$ 375.194,20
DET000129-1;VTA000129;PROD0094;1;$ 103.246,71;10,0%;$ 92.922,04;$ 75.469,00;$ 17.453,04
DET000129-2;VTA000129;PROD0166;1;$ 249.010,77;15,0%;$ 211.659,15;$ 157.280,00;$ 54.379,15
DET000129-3;VTA000129;PROD0085;1;$ 1.065.196,82;10,0%;$ 958.677,14;$ 693.641,00;$ 265.036,14
DET000130-1;VTA000130;PROD0064;2;$ 523.038,86;5,0%;$ 993.773,83;$ 712.990,00;$ 280.783,83
DET000131-1;VTA000131;PROD0029;1;$ 598.860,65;0,0%;$ 598.860,65;$ 481.869,00;$ 116.991,65
DET000132-1;VTA000132;PROD0170;1;$ 271.581,06;0,0%;$ 0,00;$ 186.768,00;$ 0,00
DET000132-2;VTA000132;PROD0164;1;$ 818.680,72;10,0%;$ 0,00;$ 571.657,00;$ 0,00
DET000133-1;VTA000133;PROD0168;1;$ 198.864,63;5,0%;$ 188.921,40;$ 143.715,00;$ 45.206,40
DET000134-1;VTA000134;PROD0058;2;$ 341.422,99;0,0%;$ 682.845,98;$ 480.912,00;$ 201.933,98
DET000134-2;VTA000134;PROD0168;1;$ 195.276,54;0,0%;$ 195.276,54;$ 143.715,00;$ 51.561,54
DET000134-3;VTA000134;PROD0155;1;$ 312.267,91;0,0%;$ 312.267,91;$ 199.197,00;$ 113.070,91
DET000135-1;VTA000135;PROD0015;2;$ 576.183,63;0,0%;$ 1.152.367,26;$ 824.988,00;$ 327.379,26
DET000135-2;VTA000135;PROD0167;2;$ 525.868,57;0,0%;$ 1.051.737,14;$ 761.102,00;$ 290.635,14
DET000136-1;VTA000136;PROD0156;3;$ 376.738,23;0,0%;$ 1.130.214,69;$ 862.830,00;$ 267.384,69
DET000136-2;VTA000136;PROD0083;2;$ 898.209,97;10,0%;$ 1.616.777,95;$ 1.184.278,00;$ 432.499,95
DET000136-3;VTA000136;PROD0056;1;$ 349.166,33;0,0%;$ 349.166,33;$ 242.486,00;$ 106.680,33
DET000137-1;VTA000137;PROD0058;1;$ 346.224,68;10,0%;$ 311.602,21;$ 240.456,00;$ 71.146,21
DET000138-1;VTA000138;PROD0178;2;$ 467.640,54;5,0%;$ 888.517,03;$ 678.668,00;$ 209.849,03
DET000139-1;VTA000139;PROD0020;1;$ 539.389,83;0,0%;$ 539.389,83;$ 405.246,00;$ 134.143,83
DET000140-1;VTA000140;PROD0062;1;$ 109.268,96;0,0%;$ 109.268,96;$ 78.996,00;$ 30.272,96
DET000141-1;VTA000141;PROD0108;1;$ 803.098,60;5,0%;$ 762.943,67;$ 564.006,00;$ 198.937,67
DET000142-1;VTA000142;PROD0075;1;$ 589.786,69;5,0%;$ 560.297,36;$ 414.909,00;$ 145.388,36
DET000142-2;VTA000142;PROD0055;1;$ 949.196,37;20,0%;$ 759.357,10;$ 645.134,00;$ 114.223,10
DET000143-1;VTA000143;PROD0114;1;$ 698.580,57;5,0%;$ 663.651,54;$ 519.674,00;$ 143.977,54
DET000144-1;VTA000144;PROD0170;1;$ 257.366,06;10,0%;$ 231.629,45;$ 186.768,00;$ 44.861,45
DET000145-1;VTA000145;PROD0142;1;$ 89.072,40;5,0%;$ 84.618,78;$ 60.200,00;$ 24.418,78
DET000146-1;VTA000146;PROD0116;1;$ 189.804,29;5,0%;$ 180.314,08;$ 152.602,00;$ 27.712,08
